lat,lon,name,admin1,admin2,cc
34.2442242,108.9920933, None,310338203,231866344,
34.2442499,108.9921697, None,310338204,370672200,
34.2446515,108.9923736, None,310338205,334802606,
34.2449618,108.9922092, None,310338206,231866359,
34.2452319,108.9921657, None,310338208,231866359,
34.2454270,108.9921455, None,310338209,231866359,
34.2460316,108.9921758, None,310338210,231866359,
34.2473095,108.9921053, None,310338211,231866359,
34.2516829,108.9920853, None,310338214,457047970,
34.2551966,108.9920605, None,310338216,335518752,
34.2573089,108.9920204, None,310338217,335518756,
34.2579613,108.9920199, None,310338218,335518757,
34.2603500,108.9920809, None,310338220,28258017,
34.2608679,108.9918518, None,310338222,266583951,
34.2612252,108.9916391, None,310338223,156592791,
34.2618296,108.9911678, None,310338224,156592791,
34.2623847,108.9908605, None,310338225,156592791,
34.2633644,108.9908264, None,310338226,156592798,
34.2643377,108.9907613, None,310338227,156592798,
34.2664989,108.9907911, None,310338228,156592798,
34.2683275,108.9907947, None,310338229,156592804,
34.2704830,108.9908233, None,310338231,156592804,
34.2708717,108.9907815, None,310338233,335525203,
34.2709235,108.9946669, None,310338238,457336080,
34.2709182,108.9965775, None,310338239,28258015,
34.2709346,108.9976544, None,310338240,457336091,
34.2709167,109.0048825, None,310338269,334648942,
34.2709374,109.0084127, None,310338270,334648942,
34.2709270,109.0091271, None,310338271,334648942,
34.2603220,109.0048780, None,310338275,334648939,
34.2605307,108.9921240, None,310338276,457044276,
34.2607689,108.9926573, None,310338278,457044274,
34.2606786,108.9948465, None,310338279,236608001,
34.2604213,108.9998004, None,310338281,236608001,
34.2603249,109.0029613, None,310338282,334648939,
34.2525095,109.0093039, None,310338301,247978615,
34.2337352,108.9882439, None,310338316,337335341,
34.2337333,108.9880072, None,310338317,212700510,
34.2337524,108.9878199, None,310338318,212700510,
34.2337987,108.9876791, None,310338319,212700510,
34.2339052,108.9873594, None,310338322,212700510,
34.2340965,108.9868975, None,310338323,212700510,
34.2342059,108.9867838, None,310338324,212700510,
34.2343504,108.9866926, None,310338325,212700510,
34.2344777,108.9865896, None,310338326,212700510,
34.2345447,108.9865309, None,310338327,212700510,
34.2345622,108.9864483, None,310338328,212700510,
34.2345879,108.9855629, None,310338329,212700510,
34.2346035,108.9850221, None,310338330,212700510,
